Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Datetime,,,,,
2025-06-25 13:30:00+00:00,6105.68017578125,6108.25,6102.47021484375,6104.22998046875,0
2025-06-25 13:31:00+00:00,6103.27001953125,6106.5498046875,6101.60009765625,6105.22998046875,16478722
2025-06-25 13:32:00+00:00,6102.97021484375,6104.97021484375,6102.2998046875,6103.2001953125,15522884
2025-06-25 13:33:00+00:00,6101.4599609375,6102.89990234375,6099.759765625,6102.89990234375,15942676
2025-06-25 13:34:00+00:00,6104.56982421875,6104.56982421875,6100.83984375,6101.5498046875,20766138
2025-06-25 13:35:00+00:00,6103.89990234375,6106.2001953125,6103.7900390625,6104.7001953125,12471324
2025-06-25 13:36:00+00:00,6106.18994140625,6106.3701171875,6103.64990234375,6103.919921875,11893559
2025-06-25 13:37:00+00:00,6105.83984375,6106.27001953125,6104.490234375,6106.240234375,10346130
2025-06-25 13:38:00+00:00,6105.169921875,6107.3701171875,6105.169921875,6106.22998046875,10550983
2025-06-25 13:39:00+00:00,6107.080078125,6107.10009765625,6105.22998046875,6105.22998046875,10974441
2025-06-25 13:40:00+00:00,6107.31005859375,6107.60986328125,6106.6201171875,6106.9501953125,12285928
2025-06-25 13:41:00+00:00,6105.56005859375,6107.4599609375,6105.5498046875,6107.22021484375,10035954
2025-06-25 13:42:00+00:00,6108.1298828125,6108.35009765625,6105.6298828125,6105.6298828125,9854777
2025-06-25 13:43:00+00:00,6108.240234375,6108.509765625,6107.7900390625,6107.97998046875,9368840
2025-06-25 13:44:00+00:00,6106.47998046875,6108.31005859375,6106.47021484375,6108.31005859375,9062961
2025-06-25 13:45:00+00:00,6107.02001953125,6107.97998046875,6106.64013671875,6106.72021484375,11708228
2025-06-25 13:46:00+00:00,6106.89013671875,6107.5400390625,6106.64990234375,6107.10009765625,7081151
2025-06-25 13:47:00+00:00,6105.8798828125,6105.97998046875,6104.22021484375,6105.6298828125,12380533
2025-06-25 13:48:00+00:00,6104.35986328125,6106.1201171875,6104.009765625,6106.1201171875,8913593
2025-06-25 13:49:00+00:00,6102.669921875,6104.7001953125,6102.6298828125,6104.39013671875,9462855
2025-06-25 13:50:00+00:00,6100.009765625,6102.60009765625,6098.509765625,6102.60009765625,10225251
2025-06-25 13:51:00+00:00,6098.8798828125,6100.08984375,6098.35009765625,6100.0,9107879
2025-06-25 13:52:00+00:00,6100.68017578125,6100.68017578125,6097.83984375,6098.89990234375,8405172
2025-06-25 13:53:00+00:00,6102.2998046875,6102.93994140625,6100.64013671875,6100.89990234375,8691906
2025-06-25 13:54:00+00:00,6102.08984375,6102.72021484375,6101.4599609375,6102.35009765625,7677244
2025-06-25 13:55:00+00:00,6104.2001953125,6104.2001953125,6101.3798828125,6101.93017578125,7700780
2025-06-25 13:56:00+00:00,6106.080078125,6106.080078125,6104.0400390625,6104.0400390625,7187212
2025-06-25 13:57:00+00:00,6107.240234375,6107.58984375,6105.4501953125,6105.7900390625,8760571
2025-06-25 13:58:00+00:00,6106.5400390625,6107.35009765625,6106.1298828125,6107.2900390625,6767638
2025-06-25 13:59:00+00:00,6105.93994140625,6106.6298828125,6105.7998046875,6106.509765625,5632095
2025-06-25 14:00:00+00:00,6106.0,6106.85009765625,6105.330078125,6106.080078125,8294463
2025-06-25 14:01:00+00:00,6104.580078125,6105.97021484375,6104.22021484375,6105.97021484375,8340930
2025-06-25 14:02:00+00:00,6102.68017578125,6104.509765625,6102.16015625,6104.509765625,8854765
2025-06-25 14:03:00+00:00,6102.56005859375,6103.22021484375,6102.52001953125,6102.990234375,7127462
2025-06-25 14:04:00+00:00,6103.3798828125,6103.419921875,6102.0498046875,6102.85009765625,7206132
2025-06-25 14:05:00+00:00,6104.9599609375,6105.58984375,6103.240234375,6103.3798828125,9207287
2025-06-25 14:06:00+00:00,6103.02978515625,6105.2001953125,6102.740234375,6104.83984375,8068851
2025-06-25 14:07:00+00:00,6104.3701171875,6104.5400390625,6102.169921875,6102.93017578125,7386334
2025-06-25 14:08:00+00:00,6105.919921875,6106.22021484375,6104.47998046875,6104.52001953125,8276089
2025-06-25 14:09:00+00:00,6103.580078125,6105.89013671875,6103.22021484375,6105.89013671875,7483522
2025-06-25 14:10:00+00:00,6102.7099609375,6103.6298828125,6102.43994140625,6103.6298828125,9065515
2025-06-25 14:11:00+00:00,6100.81982421875,6102.68994140625,6100.08984375,6102.68994140625,7377736
2025-06-25 14:12:00+00:00,6100.33984375,6100.81982421875,6099.759765625,6100.81982421875,7308433
2025-06-25 14:13:00+00:00,6099.7001953125,6101.06005859375,6099.0400390625,6100.2998046875,6972685
2025-06-25 14:14:00+00:00,6098.31982421875,6099.830078125,6097.33984375,6099.830078125,8173866
2025-06-25 14:15:00+00:00,6097.7900390625,6099.8701171875,6097.22021484375,6098.31005859375,6913355
2025-06-25 14:16:00+00:00,6099.43994140625,6099.85009765625,6097.64013671875,6097.72998046875,7847448
2025-06-25 14:17:00+00:00,6101.72021484375,6102.0,6099.419921875,6099.419921875,8195871
2025-06-25 14:18:00+00:00,6099.52978515625,6101.52978515625,6099.02001953125,6101.47998046875,7013629
2025-06-25 14:19:00+00:00,6099.1298828125,6100.14990234375,6099.10009765625,6099.5498046875,6593259
2025-06-25 14:20:00+00:00,6099.02001953125,6100.81982421875,6098.85986328125,6099.2099609375,9707660
2025-06-25 14:21:00+00:00,6100.52001953125,6100.7099609375,6098.89990234375,6098.89990234375,7486147
